Left Cerebellum,Right Cerebellum,Left Brainstem,Right Brainstem,Left Cerebrum,Right Cerebrum,Inter-Hemispheric,filename,subject,emotion,priming,Posterior Lobe,Medulla,Temporal Lobe,Limbic Lobe,Frontal Lobe,Sub-lobar,Pons,Anterior Lobe,Occipital Lobe,Midbrain,Frontal-Temporal Space,Parietal Lobe,Gray Matter,White Matter,Cerebro-Spinal Fluid,true_label,predicted_label,error_count
-2.526564172918473,-1.6182845814439188,-4.563038917810929,-4.033862551463162,-3.722136361451299,-3.9951666312070815,-3.637140525083158,./emotion-fmri-neu/cp020_beta_anger_neutral_c0.nii.gz,20,anger,neutral,-1.7623227308847125,-1.912521573442611,-4.632886888936791,-4.035365520856305,-2.5578326615587814,-7.615864376746233,-2.0172589637932594,-2.7070488301069364,-0.5316089139429857,-6.859692889067822,-7.551621024158894,-5.51058347631905,-3.3595952728875758,-3.820361453274292,-8.393535736301374,neutral,incongruent,1
-0.7548465570003563,-0.8245045699755617,-1.877768676489305,-2.1069507963722303,-1.1226685214643164,-1.6374668349996968,-3.1843941516660355,./emotion-fmri-neu/cp008_beta_anger_neutral_c0.nii.gz,8,anger,neutral,-0.0293062043752519,-2.7831332626348053,-1.324112465984395,-2.171653093020704,-1.7930985847050291,-0.500833163009649,-2.556088011073182,-2.5179630850893555,-0.2272161353108685,-1.307753936507346,-0.2951928451349763,-1.5689257150819018,-1.4358169533634626,-1.149640763604633,-0.6445681002637121,neutral,congruent,1
-0.5887220774995279,0.1178111392809965,-0.1160212223323161,-0.1188936008626293,-0.3506579666057854,-0.442282452918223,-0.2827713919096471,./emotion-fmri-neu/cp016_beta_fear_congruent_c0.nii.gz,16,fear,congruent,-0.0148529835817094,1.0057875165377956,-0.4397479889992161,-0.3417909418956419,-0.3278519797408047,-0.2613467245868336,-0.2435607612212998,-0.740160609831833,-0.1088550384712446,-0.2272785445134555,-0.353676111404492,-0.9197171983060496,-0.4087249567893479,-0.3427964055288332,0.1671684807690602,congruent,neutral,1
-0.5194038219364724,-0.5388326800318908,-0.9663782775777128,-1.254319490837278,-0.5471316396665792,-0.4343203313767825,-1.3795646310212737,./emotion-fmri-neu/cp030_beta_fear_congruent_c0.nii.gz,30,fear,congruent,-0.2649484906849764,-1.624238038334726,-0.7942754605640308,-1.561540962155615,-0.7643199661340687,-1.4662910320000135,-0.7577222836743822,-1.11974684745523,4.255637564297375,-1.3228581298017648,-0.0962121632863709,-1.5832690426377998,-0.4545498995906267,-0.4897274524287905,-2.597285300230721,congruent,incongruent,1
-0.490496018105746,-0.5380452704280122,0.0034001670217491,-0.1239292987853769,-0.5490551541475884,-0.7194476908801534,-1.1748302606230636,./emotion-fmri-neu/cp016_beta_disgust_congruent_c0.nii.gz,16,disgust,congruent,-0.7042406791748554,-0.4498373997229579,-0.4247903086477527,-0.3461296976730399,-0.8456627846370535,-0.3503392306168035,-0.1899018990657686,-0.0924672128974533,0.0482545285704379,0.1385122228730721,0.2764264300224948,-1.3323504797135066,-0.7027369294328975,-0.5598485312197893,-0.1972558429642795,congruent,neutral,1
-0.4411815416559681,-0.215449214473178,-0.8769457594666065,-1.0510142305540555,-0.5663946083907515,-0.229516167846813,-1.6300892089592414,./emotion-fmri-neu/cp030_beta_disgust_congruent_c0.nii.gz,30,disgust,congruent,-0.1227899715307949,-3.795322189945854,-0.6874965496078467,-1.4675220831211786,-0.3976325091895645,-1.483973811539144,-0.0748808163523511,-0.7987434496543853,2.7687952205562363,-1.2081323010296805,0.2609583499078693,-0.878148960914566,-0.2905776661675676,-0.4302833747021338,-2.657896664745304,congruent,incongruent,1
-0.1603474020367956,0.6897674773447591,-0.1599763284865885,-0.3736802043853515,-0.4957628632677184,-0.3410108665602994,-1.5561007138649454,./emotion-fmri-neu/cp007_beta_anger_incongruent_c0.nii.gz,7,anger,incongruent,0.5077253698659627,-0.1431574955965365,-0.7145297339871101,-1.0069242910090068,-0.8842412377338392,-0.4593299794488848,-0.49720743977214,-0.2594700423004345,2.352583130849464,-0.0771572617298018,-0.572194201894331,-0.6015611896052261,-0.2020315073934847,-0.4268084982380021,-0.712324781657047,incongruent,congruent,1
-0.0987684782575836,0.8529612129472743,-0.5844634922782801,-1.2015473463390145,-1.832624156812366,-1.188397069228016,-3.3625012452081804,./emotion-fmri-neu/cp004_beta_disgust_congruent_c0.nii.gz,4,disgust,congruent,0.4036349147052788,-4.854854594303845,-1.8397052004805865,-1.7293382098604957,-0.7023925956628407,-2.4156508734662654,-0.7738766062188027,0.3744942689362166,-1.0589775973770714,-0.1998267676278391,-2.383935049949315,-2.619290645741951,-0.9628663926505832,-1.4876503688452651,-4.500780784445634,congruent,neutral,1
-0.0389449318995899,-0.0732116938363595,-0.0828930190496837,-0.5764284695649117,-0.4663955878503271,-0.3342516315156356,-0.2777660341278951,./emotion-fmri-neu/cp016_beta_anger_incongruent_c0.nii.gz,16,anger,incongruent,0.0889289282179745,-0.257605681939137,-0.3104969252388107,-0.3532297716176942,-0.3548755425508638,-0.3909492239677995,-0.3160703626058357,-0.3822089433063551,-0.2879364817581508,-0.347879241869382,-0.3947535161701121,-0.7570043310049246,-0.3671586173466192,-0.3397863136133949,-0.2052600588182096,incongruent,neutral,1
0.0736091462552831,0.6779475456547353,0.202803236472112,0.3063221363675605,0.3877007323095513,0.438309218436545,-0.1441584747775856,./emotion-fmri-neu/cp007_beta_disgust_incongruent_c0.nii.gz,7,disgust,incongruent,0.4593522949890169,-0.3414698752907166,-0.1294149127895442,-0.2615955087380031,0.0235074937561599,0.2592475086002564,0.1258148506255966,0.234547068549872,3.3685512522315864,0.4905817093285246,-0.6896376003440341,0.3479795756941628,0.4748536455664577,0.3805627067525877,0.0571406996325673,incongruent,congruent,1
0.0953331080033857,0.486014108427608,-1.0993812525804822,-1.293800599000562,0.4908273157283843,0.5044228940741486,0.2746610705692112,./emotion-fmri-neu/cp012_beta_disgust_congruent_c0.nii.gz,12,disgust,congruent,0.5506456044193866,-1.5857226112276903,-0.0034646610376482,-0.5095486495742496,0.5456802819636011,-0.0483696329222924,-2.2298588846094893,-0.2952017973047496,1.8225514810512025,-0.1718198894162972,0.21956662860175,1.0886050417644495,0.4812856442443865,0.47011159966009,0.9581365816678163,congruent,neutral,1
0.1562123614270781,-0.3156897571283566,-0.2420145279548549,-0.8519330735632672,0.6449616621803992,0.2375096862263688,0.0252062219994614,./emotion-fmri-neu/cp028_beta_fear_neutral_c0.nii.gz,28,fear,neutral,-0.2782161995828109,-1.992803791340588,-0.1345715826682869,-0.0767477776225354,-0.0196770659525513,-0.1743065438701919,-1.0718931890006416,0.4063129507222307,4.763735223479672,0.2354133258461995,-1.6509465882319132,-0.1854513496178577,0.3170739849293544,0.4618514307777684,-0.356166642527787,neutral,incongruent,1
0.1664593922087957,0.817874197244879,0.0816408422489271,-0.1890972699330289,0.5523599741750679,0.2230842627860656,-0.8723862746799269,./emotion-fmri-neu/cp007_beta_anger_neutral_c0.nii.gz,7,anger,neutral,0.7610549938501763,-0.8018339869393315,-0.0405921563342001,-0.5013222253686485,0.344180603999379,-0.00488353726435,0.0691147057646509,-0.0560732193896221,2.490362584806391,-0.0073000515234433,0.4173010653502065,0.2973271435656446,0.5504212332439727,0.3075090582915315,-0.5428384476746139,neutral,congruent,1
0.188333268153512,-0.9291077919237344,1.218252099041302,1.7628807196691478,-1.5935596945695762,-0.8057342626829445,-1.9033089644176384,./emotion-fmri-neu/cp020_beta_fear_neutral_c0.nii.gz,20,fear,neutral,-0.7424172067770867,-0.4562814613911637,-3.051437187185709,-0.8862183232958858,-1.3649973606314554,-1.453798077499898,2.065416708049054,0.5121751409080181,-0.971678701338508,1.3379411492246414,-2.06101079536672,1.2817134078384214,-1.0472565799297622,-1.076752995833398,-2.594419852711477,neutral,congruent,1
0.2074490907203354,-0.1544533007347674,-0.2152766329139758,-0.3513048698390529,-0.547965144120859,-0.6565868687747309,-0.9233006845857328,./emotion-fmri-neu/cp016_beta_disgust_incongruent_c0.nii.gz,16,disgust,incongruent,0.0887490309376865,-0.8906199441249526,-0.8380643723218782,-0.6451708071698671,-0.5412567459301809,-0.5891485695335401,0.0125337289372471,-0.1218323632245119,0.1406258645287686,-0.429446630037105,-0.3463479452325969,-1.0647849428505292,-0.4901985750098465,-0.5460722445804035,-0.6056087665302604,incongruent,congruent,1
0.2590607843740253,0.0764563622840414,0.3352384457818342,0.1761045287439719,0.2210475238660355,0.0044637131573817,0.5285415972678001,./emotion-fmri-neu/cp016_beta_anger_neutral_c0.nii.gz,16,anger,neutral,0.3977093864767536,2.326364283014897,0.1693605958422595,0.5100447667193067,0.0561757459840118,0.3893788885419645,0.0263727294820726,-0.3408213592186253,0.0668311001632388,0.0530168218461394,1.6710630219339333,-0.3099336440228331,0.1422243907757279,0.0789944903297161,0.301838680864227,neutral,congruent,1
0.2687365813023362,0.3118700259300102,-0.2972234930669525,-0.4430631309518332,0.1982696767336307,0.257178281916415,-0.7064688457508757,./emotion-fmri-neu/cp028_beta_anger_neutral_c0.nii.gz,28,anger,neutral,0.2225285078276621,-1.1593774240220898,-0.3814306210648154,-0.3916688188612645,-0.304961242100255,-0.5424025179978709,-0.9794690449505468,0.4717996844642125,5.143502143806119,0.3467249177653383,-1.5540323973777412,-0.4360619923834684,0.2147447715503666,0.2971006341975538,-0.4093175034556365,neutral,incongruent,1
0.2692461109265985,0.0260910375188922,-0.055914484391996,-0.3333064328931623,0.7528232117993932,0.4180503984398734,-0.6580121250483222,./emotion-fmri-neu/cp008_beta_fear_incongruent_c0.nii.gz,8,fear,incongruent,0.7388140824590372,-2.710622332031882,-0.0910741783567118,-0.3753239179063453,0.7520340081517831,-0.0379788803197039,0.061340288277599,-1.1690971895046816,3.2147272720510065,0.0820580728477769,1.7904859310645238,0.0545684357887023,0.6362899408569583,0.4626396242465401,-1.0656447781657372,incongruent,congruent,1
0.3190355015368947,0.8991022494889308,-0.2214186880158078,0.2983193592248617,-0.7647977336131572,-0.4661339592194464,-0.6468460803316861,./emotion-fmri-neu/cp007_beta_fear_neutral_c0.nii.gz,7,fear,neutral,0.3938461643726821,-0.8556388162963815,-0.5852242310526382,-0.9888142374617988,-1.3090984619419126,-0.6247374243472879,-0.916463841473718,1.1108544179067343,2.3410925466654304,1.077680471257522,-0.2513511245751698,-0.9152252325717652,-0.2267160253425512,-0.6856805800658121,-1.571925628250766,neutral,congruent,1
0.3770146164310324,-0.0399234679485861,0.1775732977604702,-0.0104578748667184,0.4662072111742555,0.1005625049193749,-0.136279289243467,./emotion-fmri-neu/cp028_beta_disgust_neutral_c0.nii.gz,28,disgust,neutral,0.1393502995093196,0.3750535983721619,-0.390108971380984,-0.5069562124190603,-0.3065102495012096,-0.7899267959774514,-0.3720381053010224,0.2510670581904862,5.158109809474104,0.4443725474968954,-1.5302905770944182,0.2551071086309821,0.2976472015374053,0.2643663314295587,-1.027672860761257,neutral,incongruent,1
0.4115548961802477,0.4109554566130134,-1.7189489211657745,-1.9488811784518212,0.1675151067020202,-0.1429981651468266,0.4706361225027544,./emotion-fmri-neu/cp012_beta_anger_congruent_c0.nii.gz,12,anger,congruent,0.7995271938350006,0.5068694312253164,-0.5021149927598021,-1.216733126554976,0.2928459347793957,-1.937551110320964,-0.833837600048906,-0.4847226700779978,2.4812563861412347,-3.204273447507358,0.0842097737801119,0.5005807680773656,0.3207698983041144,-0.1639820481884279,-3.0866858604346232,congruent,neutral,1
