Left Cerebral White Matter,Left Cerebral Cortex ,Left Lateral Ventrical,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex ,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens,filename,subject,emotion,priming,true_label,predicted_label,error_count
-1.5873937345756943,-1.2196850497092653,-5.438309292523544,-0.6974928562222208,-3.615596345109081,-1.7276704490038592,-0.7056287917185387,-0.2726852861879283,-0.5967339010224513,-0.9547140312264496,-1.6109220242890356,-1.1523832448273397,-0.6945241230950592,-5.061882475440408,-1.6278600774825358,-2.8811500778254917,-1.178299865723075,-0.834027503316132,-0.8558001405031437,-1.264152255674777,-3.146550098353309,./emotion-fmri-neu/cp004_beta_disgust_congruent_c0.nii.gz,4,disgust,congruent,congruent,neutral,1
-1.5104012103030984,-0.5368647979697213,-3.151152160445335,-0.168962713213728,-2.041085485576092,-1.9791183447651737,-0.5240868612139247,-4.511749226525864,-0.1541745384675237,0.0162369835004923,0.3016416191758851,-0.7754140528001486,0.1222764474786323,-1.4279117626389457,-0.3929383613113802,-0.874793005720901,-0.9654599130401286,-0.2019362400247687,0.3786348854005648,-1.2066518843888312,0.3316157901650604,./emotion-fmri-neu/cp004_beta_fear_congruent_c0.nii.gz,4,fear,congruent,congruent,neutral,1
-1.3112935906545546,-1.4366121893292607,-2.756070070633793,-1.1483307597040822,-2.7534676905763447,-4.681469221148128,-3.220618027766704,0.6738375633050566,-2.603559336065856,-3.0998132348136025,-8.814228976346085,-0.6705463910509137,-1.0082842387128543,-1.4237648951400967,-1.1714320742759663,-3.493003860601684,-0.8215977626456328,-1.0001888843772777,-0.1037850711531371,-2.079837270138558,-10.330586969630074,./emotion-fmri-neu/cp020_beta_fear_neutral_c0.nii.gz,20,fear,neutral,neutral,congruent,1
-1.004087108445305,-0.4555430600129886,-0.2077684246777553,0.2222293049319693,2.357806291310504,1.6668572876719538,1.1573813102436288,2.7013536332690875,1.95999795054094,4.943886372558045,1.0269911582156277,-0.8875783711029783,-0.4864499410730134,-0.6375830828464175,-0.2350564095311706,1.4729303954507107,1.8565338249621337,1.8086223821415148,4.039406178063157,7.002337550860964,2.419969067906882,./emotion-fmri-neu/cp020_beta_fear_incongruent_c0.nii.gz,20,fear,incongruent,incongruent,congruent,1
-0.8766291841395999,-0.2533090783723249,-1.8203120004588096,-0.0385510597885863,-1.705131950127326,-1.3539873378845824,-1.348898747763557,-0.9423389914633032,-1.427971862788226,-2.047650677168482,-2.137597237412582,-0.8005354817642321,-0.3664261453218464,-1.2728914232701949,-0.0912382125654977,-1.3907059302445133,-1.0799724490410871,-0.3368908736439952,-1.5152624966636636,-1.1260805588589566,-2.8057221922202453,./emotion-fmri-neu/cp021_beta_disgust_neutral_c0.nii.gz,21,disgust,neutral,neutral,congruent,1
-0.8033407833855053,-0.594951548121226,-2.112911070371432,-0.3233467660621631,-3.1120231976138037,0.3043570559342539,0.1816976503254013,-0.1389111649531327,-1.0138718396406434,-0.7955126651444078,-1.563502748797624,-0.7249831971821354,-0.32404081500469,-1.982557942449332,-0.7070160410597087,-1.3477408071716277,0.3702803313614513,0.9697008612095812,-1.473558173541235,-1.4675752691095818,-1.3659922788416712,./emotion-fmri-neu/cp007_beta_fear_neutral_c0.nii.gz,7,fear,neutral,neutral,congruent,1
-0.7939049679984996,-0.1445778295261018,-3.1138504818094246,-2.982980339687401,-0.4549529744330027,-0.3616925504993223,-0.4923000383940193,-1.1084734411043256,-1.713449024397741,0.7371548357432955,-1.4184139871592,-0.9153467435382102,-0.3252339773806889,-3.720200166974767,-2.6322517304979023,-0.4562303833670907,-0.0315436301219657,0.0195180590069196,-2.106803524639977,-0.1939101473586283,-0.9173235290066666,./emotion-fmri-neu/cp020_beta_disgust_incongruent_c0.nii.gz,20,disgust,incongruent,incongruent,congruent,1
-0.7876452819587023,-1.1244745968416232,-0.646098855532666,-1.208721092908042,0.021888124124191,-0.5832986446064892,0.0014750605577449,-1.329805514652244,-2.23530961370838,-1.8114310402073064,-3.0155788767165266,-1.1625136999778218,-1.591271323679413,-0.053301296516417,-0.9494030835406176,0.7364836447007389,-0.8968216856993014,-0.0915205025514558,-3.5667877244111645,-2.153950653255921,-4.090303200757922,./emotion-fmri-neu/cp008_beta_anger_neutral_c0.nii.gz,8,anger,neutral,neutral,incongruent,1
-0.7707148533336301,-0.2415515927145386,-2.570864232403822,-2.4818664967328687,-0.585394233002119,-1.6817234259445093,-0.6725117491660711,-1.4146490231143336,-1.4696236397978928,-0.3238030737228862,-0.4028621671751348,-0.4981602012770258,0.0050112995021303,-3.291559230503999,-2.1085934323587936,-1.5870040688479747,-0.6969758150138153,-0.420910343867185,-0.9915168223622168,-0.5299489432623044,-1.6108234966732191,./emotion-fmri-neu/cp030_beta_disgust_congruent_c0.nii.gz,30,disgust,congruent,congruent,incongruent,1
-0.7435313296247318,-0.1025920471543746,-1.8451496197895128,-0.1090861852912065,-0.8407596089417312,-0.5879344973118498,-0.2876779436368648,0.8876641223248438,-0.8506725946893168,-1.110259190756326,-0.0923846365572655,-0.8859715862765304,0.1076401637796528,-2.1842000947389453,-0.6689882097524213,-1.3286461981670434,-0.2695363436268564,-0.0893171232710722,-1.644590030704075,-1.6081261618445986,-1.4139411381046545,./emotion-fmri-neu/cp021_beta_anger_neutral_c0.nii.gz,21,anger,neutral,neutral,incongruent,1
-0.63447218472746,-0.3155734923916427,-2.803805269696359,-2.6768633753663567,-2.206820591985501,-1.7455981238029787,-1.1590268580332248,-0.4815758704150567,-1.2204735408007168,-0.2471906137732553,-0.0147381695827979,-0.6078312731563527,-0.2063073814163015,-3.246947702431274,-2.665169840373078,-2.6849723819739504,-0.6961912473701037,-0.139468634130661,-1.942303700259768,-0.9476150072908944,-1.8329657880481736,./emotion-fmri-neu/cp030_beta_fear_congruent_c0.nii.gz,30,fear,congruent,congruent,incongruent,1
