Left Cerebellum,Right Cerebellum,Left Brainstem,Right Brainstem,Left Cerebrum,Right Cerebrum,Inter-Hemispheric,filename,subject,emotion,priming,Posterior Lobe,Medulla,Temporal Lobe,Limbic Lobe,Frontal Lobe,Sub-lobar,Pons,Anterior Lobe,Occipital Lobe,Midbrain,Frontal-Temporal Space,Parietal Lobe,Gray Matter,White Matter,Cerebro-Spinal Fluid,true_label,predicted_label,error_count
-0.8524256661228558,-0.9449004691070542,-0.7652721737415854,-0.7491310912430776,-0.3579314132538406,-0.2832147059303516,-0.1572695440035052,./emotion-fmri-neu/cp016_beta_fear_neutral_c0.nii.gz,16,fear,neutral,-0.6480935829558137,0.9413175062404248,-0.1702436373751684,-0.2291679193311868,-0.0728250939934493,-0.4230580119021173,-0.2432109470537036,-1.49228473084201,-1.8388260292669865,-1.5614481647185774,0.8150391599369289,0.0839030817465421,-0.5006817865962957,-0.2936449874656695,-0.6659520388284329,neutral,congruent,1
-0.7548465570003563,-0.8245045699755617,-1.877768676489305,-2.1069507963722303,-1.1226685214643164,-1.6374668349996968,-3.1843941516660355,./emotion-fmri-neu/cp008_beta_anger_neutral_c0.nii.gz,8,anger,neutral,-0.0293062043752519,-2.7831332626348053,-1.324112465984395,-2.171653093020704,-1.7930985847050291,-0.500833163009649,-2.556088011073182,-2.5179630850893555,-0.2272161353108685,-1.307753936507346,-0.2951928451349763,-1.5689257150819018,-1.4358169533634626,-1.149640763604633,-0.6445681002637121,neutral,congruent,1
-0.5604957925119997,-0.291089000394751,-0.4695745688244203,-0.1087580796200838,-0.3068973224578087,-0.1888827681410479,-0.379597416083305,./emotion-fmri-neu/cp016_beta_disgust_neutral_c0.nii.gz,16,disgust,neutral,-0.4368342160145128,-1.920269967052748,-0.304734585999512,-0.3872612836929771,-0.1139141650731887,-0.2169389619293344,-0.4950785336024108,-0.414092422322817,-0.9120339011338092,0.2141129711313818,0.1492802828427108,0.0715321632528886,-0.3476536842296575,-0.1882000128300397,0.0836231341464236,neutral,congruent,1
-0.5194038219364724,-0.5388326800318908,-0.9663782775777128,-1.254319490837278,-0.5471316396665792,-0.4343203313767825,-1.3795646310212737,./emotion-fmri-neu/cp030_beta_fear_congruent_c0.nii.gz,30,fear,congruent,-0.2649484906849764,-1.624238038334726,-0.7942754605640308,-1.561540962155615,-0.7643199661340687,-1.4662910320000135,-0.7577222836743822,-1.11974684745523,4.255637564297375,-1.3228581298017648,-0.0962121632863709,-1.5832690426377998,-0.4545498995906267,-0.4897274524287905,-2.597285300230721,congruent,incongruent,1
-0.4411815416559681,-0.215449214473178,-0.8769457594666065,-1.0510142305540555,-0.5663946083907515,-0.229516167846813,-1.6300892089592414,./emotion-fmri-neu/cp030_beta_disgust_congruent_c0.nii.gz,30,disgust,congruent,-0.1227899715307949,-3.795322189945854,-0.6874965496078467,-1.4675220831211786,-0.3976325091895645,-1.483973811539144,-0.0748808163523511,-0.7987434496543853,2.7687952205562363,-1.2081323010296805,0.2609583499078693,-0.878148960914566,-0.2905776661675676,-0.4302833747021338,-2.657896664745304,congruent,incongruent,1
-0.0987684782575836,0.8529612129472743,-0.5844634922782801,-1.2015473463390145,-1.832624156812366,-1.188397069228016,-3.3625012452081804,./emotion-fmri-neu/cp004_beta_disgust_congruent_c0.nii.gz,4,disgust,congruent,0.4036349147052788,-4.854854594303845,-1.8397052004805865,-1.7293382098604957,-0.7023925956628407,-2.4156508734662654,-0.7738766062188027,0.3744942689362166,-1.0589775973770714,-0.1998267676278391,-2.383935049949315,-2.619290645741951,-0.9628663926505832,-1.4876503688452651,-4.500780784445634,congruent,neutral,1
-0.0389449318995899,-0.0732116938363595,-0.0828930190496837,-0.5764284695649117,-0.4663955878503271,-0.3342516315156356,-0.2777660341278951,./emotion-fmri-neu/cp016_beta_anger_incongruent_c0.nii.gz,16,anger,incongruent,0.0889289282179745,-0.257605681939137,-0.3104969252388107,-0.3532297716176942,-0.3548755425508638,-0.3909492239677995,-0.3160703626058357,-0.3822089433063551,-0.2879364817581508,-0.347879241869382,-0.3947535161701121,-0.7570043310049246,-0.3671586173466192,-0.3397863136133949,-0.2052600588182096,incongruent,congruent,1
0.0736091462552831,0.6779475456547353,0.202803236472112,0.3063221363675605,0.3877007323095513,0.438309218436545,-0.1441584747775856,./emotion-fmri-neu/cp007_beta_disgust_incongruent_c0.nii.gz,7,disgust,incongruent,0.4593522949890169,-0.3414698752907166,-0.1294149127895442,-0.2615955087380031,0.0235074937561599,0.2592475086002564,0.1258148506255966,0.234547068549872,3.3685512522315864,0.4905817093285246,-0.6896376003440341,0.3479795756941628,0.4748536455664577,0.3805627067525877,0.0571406996325673,incongruent,neutral,1
0.0793279859323649,0.6597760325674856,-1.197443067490042,-1.2323291790857056,0.1488029977471664,0.0898499330789112,-0.9669743914931516,./emotion-fmri-neu/cp007_beta_disgust_neutral_c0.nii.gz,7,disgust,neutral,0.5815599765980382,-1.1652124305244589,-0.3785635737649599,-0.7944967250607295,0.1534784853964693,-0.1117600778851331,-2.3338460355766704,-0.0413864296438609,1.972067177702552,-0.2007005556267675,0.7061946530313724,-0.0318102293641521,0.29186707000434,0.0743061729865536,-1.577954193943793,neutral,congruent,1
0.0953331080033857,0.486014108427608,-1.0993812525804822,-1.293800599000562,0.4908273157283843,0.5044228940741486,0.2746610705692112,./emotion-fmri-neu/cp012_beta_disgust_congruent_c0.nii.gz,12,disgust,congruent,0.5506456044193866,-1.5857226112276903,-0.0034646610376482,-0.5095486495742496,0.5456802819636011,-0.0483696329222924,-2.2298588846094893,-0.2952017973047496,1.8225514810512025,-0.1718198894162972,0.21956662860175,1.0886050417644495,0.4812856442443865,0.47011159966009,0.9581365816678163,congruent,neutral,1
